Date,Price
2000-01-04,"1,399.40"
2000-01-05,"1,402.10"
2000-01-06,"1,403.50"
2000-01-07,"1,441.50"
2000-01-10,"1,457.60"
2000-01-11,"1,438.60"
2000-01-12,"1,432.20"
2000-01-13,"1,449.70"
2000-01-14,"1,465.20"
2000-01-18,"1,455.10"
2000-01-19,"1,455.90"
2000-01-20,"1,445.60"
2000-01-21,"1,441.40"
2000-01-24,"1,401.50"
2000-01-25,"1,410.00"
2000-01-26,"1,404.10"
2000-01-27,"1,398.60"
2000-01-28,"1,360.20"
2000-01-31,"1,394.50"
2000-02-01,"1,409.30"
2000-02-02,"1,409.10"
2000-02-03,"1,425.00"
2000-02-04,"1,424.40"
2000-02-07,"1,424.20"
2000-02-08,"1,441.70"
2000-02-09,"1,411.70"
2000-02-10,"1,416.80"
2000-02-11,"1,387.10"
2000-02-14,"1,389.90"
2000-02-15,"1,402.00"
2000-02-16,"1,387.70"
2000-02-17,"1,388.30"
2000-02-18,"1,346.10"
2000-02-22,"1,352.20"
2000-02-23,"1,360.70"
2000-02-24,"1,353.40"
2000-02-25,"1,333.40"
2000-02-28,"1,348.00"
2000-02-29,"1,366.40"
2000-03-01,"1,379.20"
2000-03-02,"1,381.80"
2000-03-03,"1,409.20"
2000-03-06,"1,391.30"
2000-03-07,"1,355.60"
2000-03-08,"1,366.70"
2000-03-09,"1,401.70"
2000-03-10,"1,395.10"
2000-03-13,"1,383.60"
2000-03-14,"1,359.20"
2000-03-15,"1,392.20"
2000-03-16,"1,458.50"
2000-03-17,"1,464.50"
2000-03-20,"1,456.60"
2000-03-21,"1,493.90"
2000-03-22,"1,500.60"
2000-03-23,"1,527.30"
2000-03-24,"1,527.50"
2000-03-27,"1,523.90"
2000-03-28,"1,507.70"
2000-03-29,"1,508.50"
2000-03-30,"1,487.90"
2000-03-31,"1,498.60"
2000-04-03,"1,506.00"
2000-04-04,"1,494.70"
2000-04-05,"1,487.40"
2000-04-06,"1,501.30"
2000-04-07,"1,516.30"
2000-04-10,"1,504.50"
2000-04-11,"1,500.60"
2000-04-12,"1,467.20"
2000-04-13,"1,440.50"
2000-04-14,"1,356.60"
2000-04-17,"1,401.40"
2000-04-18,"1,441.60"
2000-04-19,"1,427.50"
2000-04-20,"1,434.50"
2000-04-24,"1,429.90"
2000-04-25,"1,477.40"
2000-04-26,"1,461.00"
2000-04-27,"1,464.90"
2000-04-28,"1,452.40"
2000-05-01,"1,468.20"
2000-05-02,"1,446.30"
2000-05-03,"1,415.10"
2000-05-04,"1,409.60"
2000-05-05,"1,432.60"
2000-05-08,"1,424.20"
2000-05-09,"1,412.10"
2000-05-10,"1,383.00"
2000-05-11,"1,407.80"
2000-05-12,"1,421.00"
2000-05-15,"1,452.40"
2000-05-16,"1,466.00"
2000-05-17,"1,447.80"
2000-05-18,"1,437.20"
2000-05-19,"1,407.00"
2000-05-22,"1,400.70"
2000-05-23,"1,373.90"
2000-05-24,"1,399.00"
2000-05-25,"1,381.50"
2000-05-26,"1,378.00"
2000-05-30,"1,422.50"
2000-05-31,"1,420.60"
2000-06-01,"1,448.80"
2000-06-02,"1,477.30"
2000-06-05,"1,467.60"
2000-06-06,"1,457.80"
